,YEARS,ACCIDENTS_WITH_VICTIMS,INJURIES,DEATHS,VICTIMS_PER_ACCIDENT,PERCENTAGE_INCREASE_IN_ACCIDENTS,PERCENTAGE_INCREASE_IN_INJURIES,PERCENTAGE_INCREASE_IN_DEATHS
0,1960,12537,14336,641,1.19,0.0,0.0,0.0
1,1961,14736,17197,738,1.22,0.18,0.2,0.15
2,1965,16538,20053,920,1.27,0.12,0.17,0.25
3,1970,22662,28849,1417,1.34,0.37,0.44,0.54
4,1975,33109,40576,2676,1.31,0.46,0.41,0.89
5,1976,30568,36264,2594,1.27,-0.08,-0.11,-0.03
6,1977,30062,35047,2153,1.24,-0.02,-0.03,-0.17
7,1978,32637,35957,2173,1.17,0.09,0.03,0.01
8,1979,33331,37837,2186,1.2,0.02,0.05,0.01
9,1980,33886,41101,2262,1.28,0.02,0.09,0.03
10,1981,33560,44574,2269,1.4,-0.01,0.08,0.0
11,1982,35324,47116,2126,1.39,0.05,0.06,-0.06
12,1983,31285,39545,2177,1.33,-0.11,-0.16,0.02
13,1984,29255,39365,1841,1.41,-0.06,-0.0,-0.15
14,1985,29156,39560,1875,1.42,-0.0,0.0,0.02
15,1986,30485,41100,1982,1.41,0.05,0.04,0.06
16,1987,38656,54517,2296,1.47,0.27,0.33,0.16
17,1988,41915,59532,2534,1.48,0.08,0.09,0.1
18,1989,43499,61519,2375,1.47,0.04,0.03,-0.06
19,1990,45110,63329,2321,1.46,0.04,0.03,-0.02
20,1991,48953,69535,2475,1.47,0.09,0.1,0.07
21,1992,50851,70986,2372,1.44,0.04,0.02,-0.04
22,1993,48645,66710,2077,1.41,-0.04,-0.06,-0.12
23,1994,45830,62163,1926,1.4,-0.06,-0.07,-0.07
24,1995,48339,65827,2085,1.4,0.05,0.06,0.08
25,1996,49265,66627,2100,1.4,0.02,0.01,0.01
26,1997,49417,66516,1939,1.39,0.0,-0.0,-0.08
27,1998,49319,66603,1865,1.39,-0.0,0.0,-0.04
28,1999,47966,65327,1750,1.4,-0.03,-0.02,-0.06
29,2000,44159,59924,1629,1.39,-0.08,-0.08,-0.07
30,2001,42521,57044,1466,1.38,-0.04,-0.05,-0.1
31,2002,42219,56585,1469,1.38,-0.01,-0.01,0.0
32,2003,41495,55258,1356,1.36,-0.02,-0.02,-0.08
33,2004,38930,52009,1135,1.37,-0.06,-0.06,-0.16
34,2005,37066,49249,1094,1.36,-0.05,-0.05,-0.04
35,2006,35680,47137,850,1.34,-0.04,-0.04,-0.22
36,2007,35311,46318,854,1.34,-0.01,-0.02,0.0
37,2008,33613,43933,776,1.33,-0.05,-0.05,-0.09
38,2009,35484,46414,737,1.33,0.06,0.06,-0.05
39,2010,35426,46561,741,1.34,-0.0,0.0,0.01
40,2011,32541,42162,689,1.32,-0.08,-0.09,-0.07
41,2012,29867,38250,573,1.3,-0.08,-0.09,-0.17
42,2013,30339,38872,518,1.3,0.02,0.02,-0.1
43,2014,30604,39171,482,1.3,0.01,0.01,-0.07
44,2015,31953,41076,473,1.3,0.04,0.05,-0.02
45,2016,32299,41223,445,1.29,0.01,0.0,-0.06
46,2017,34416,43985,510,1.29,0.07,0.07,0.15
47,2018,34235,43497,508,1.29,-0.01,-0.01,-0.0
48,2019,35704,45503,474,1.29,0.04,0.05,-0.07
49,2020,26501,32535,390,1.24,-0.26,-0.28,-0.18
50,2021,29217,36323,390,1.26,0.1,0.12,0.0
51,2022,32788,40699,462,1.26,0.12,0.12,0.18
